"user_id","game_name","payment_month","language","age","has_older_device_model","arppu","paid_users","new_paid_users","mrr","new_mrr","churned_users","churned_revenue","expansion_mrr","contraction_mrr","back_from_churn_mrr"
Ghk2iJmzSUW4qLsmJgwOcw==,game 3,2022-03-01,uk,16,false,17.13,1,1,17.13,17.13,0,0,,,
W6fRYNhsTNHQkvkoFEUaVQ==,game 3,2022-03-01,uk,16,false,48.33,1,1,48.33,48.33,0,0,,,
HxWcXHURvvtOJkrXAcDxQg==,game 3,2022-03-01,uk,15,false,66.18,1,1,66.18,66.18,0,0,,,
Bcs3CbYx2EpbL9otxlEUmg==,game 3,2022-03-01,uk,18,true,89.22,1,1,89.22,89.22,1,89.22,,,
Y/nf8iBu/UCaNAuIRRjVwA==,game 3,2022-03-01,uk,15,false,24.27,1,1,24.27,24.27,0,0,,,
ZeMBdi9hmR0vUv+lyZiypQ==,game 3,2022-03-01,uk,22,false,25.41,1,1,25.41,25.41,1,25.41,,,
"4b7l8C489HEJirtoe7xtFg==",game 3,2022-03-01,uk,20,true,27.15,1,1,27.15,27.15,0,0,,,
o55dseByUOl9s5IQCz1kuQ==,game 3,2022-03-01,uk,22,false,23.16,1,1,23.16,23.16,0,0,,,
s27V1tbCAysovKSY1XcdWQ==,game 3,2022-03-01,uk,34,false,22.95,1,1,22.95,22.95,0,0,,,
prNQwR2IPPsvGpFgOpcGaQ==,game 3,2022-03-01,uk,14,false,15.66,1,1,15.66,15.66,1,15.66,,,
AN9at3LlvDamqXq8dvHD4w==,game 3,2022-03-01,ru,24,false,42.03,1,1,42.03,42.03,0,0,,,
iFFApiXZ2wPdS666BLpKZw==,game 3,2022-03-01,uk,18,false,26.85,1,1,26.85,26.85,0,0,,,
B4b6v6eUHvAVOeAQk6EEiw==,game 3,2022-03-01,ru,23,false,15.30,1,1,15.3,15.3,0,0,,,
b3TBQFxyCxxypmPajF+jXw==,game 3,2022-03-01,uk,15,true,13.98,1,1,13.98,13.98,0,0,,,
jVhb69DTRT5TSWYEiUrlbg==,game 3,2022-03-01,uk,20,false,17.46,1,1,17.46,17.46,0,0,,,
xiXTXOEbWU+HnGOUmgc9/w==,game 3,2022-03-01,uk,20,false,24.18,1,1,24.18,24.18,0,0,,,
XE2e8BsmBo72HxABlJmsRw==,game 3,2022-03-01,uk,20,false,38.16,1,1,38.16,38.16,1,38.16,,,
Uen3Ap0lnrgWVWJtFCSo7g==,game 3,2022-03-01,ru,17,false,20.79,1,1,20.79,20.79,1,20.79,,,
H44DjZG42orzuBXLai7JkA==,game 3,2022-03-01,ru,29,false,13.32,1,1,13.32,13.32,1,13.32,,,
pz7LUOs9i7xgncmHVxQvOw==,game 3,2022-03-01,ru,24,false,36.51,1,1,36.51,36.51,0,0,,,
"99X4aLWWjAIgmlXjrXQIgg==",game 3,2022-03-01,ru,22,false,16.98,1,1,16.98,16.98,1,16.98,,,
"7SeM1pmnTTTXfhI+x3ldng==",game 3,2022-03-01,ru,22,false,34.74,1,1,34.74,34.74,0,0,,,
"7EPlnA7OQ9MhMx+od6FA9g==",game 3,2022-03-01,ru,23,false,158.67,1,1,158.67,158.67,0,0,,,
V7J42heW8l19wiBJ8UpRyw==,game 3,2022-03-01,ru,25,false,49.80,1,1,49.80,49.80,0,0,,,
zSepnWFgLH0tQb1s4mxKZQ==,game 3,2022-03-01,uk,24,false,23.01,1,1,23.01,23.01,0,0,,,
"3iITAz/ADjFv3PDTgTjxSg==",game 3,2022-03-01,ru,16,false,23.76,1,1,23.76,23.76,0,0,,,
T+RA0/fgzbUBLF89D4AEDA==,game 3,2022-03-01,ru,23,false,16.11,1,1,16.11,16.11,0,0,,,
J6WNl39fdxaY8ZtvV8wNkw==,game 3,2022-03-01,uk,18,true,16.14,1,1,16.14,16.14,0,0,,,
l3sFUsG2qpcnrEzwRnjvtQ==,game 3,2022-03-01,ru,15,false,38.10,1,1,38.10,38.10,0,0,,,
